CMPD_CHEMBLID,processed_smiles,exp,smiles,inchi,Stereo,duplicate
CHEMBL276218,O=C1CCCCCN1,-0.08,O=C1CCCCCN1,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,,False
CHEMBL2153181,CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,VPMVCCJNDYXJJG-UHFFFAOYSA-N,16_?,False
CHEMBL1916276,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3C)cnn2-c2ccccc2)cc1,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,AYPVPRGQTUGNOF-UHFFFAOYSA-N,14_?|19_?,False
CHEMBL93884,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,KYQOWAHXMWGEJG-UHFFFAOYSA-N,,False
CHEMBL2171986,COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2)cc1,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,SPWKCUOJASZCNG-RTBURBONSA-N,12_R|17_R,False
CHEMBL190044,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,LORDFXWUHHSAQU-UHFFFAOYSA-N,2_?,False
CHEMBL469790,COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,AEMKVXCCHGLFJH-MRXNPFEDSA-N,28_R,False
CHEMBL2165055,CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,XCLSBAOOCPECMX-OFNKIYASSA-N,2_S|22_R,False
CHEMBL322479,CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,SAGQYGYKRVWICY-UHFFFAOYSA-N,,False
CHEMBL2036736,O=C(Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,PWQXCYLQJXYHMK-UHFFFAOYSA-N,,False
CHEMBL2179291,COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,ZUHDMPDIHXIVMC-UHFFFAOYSA-N,17_?,False
CHEMBL2158823,O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,SUHCNXHLKUQVER-UHFFFAOYSA-N,,False
CHEMBL641,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,VHGCDTVCOLNTBX-QGZVFWFLSA-N,4_R,False
CHEMBL1289785,O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,PFUAWQGDUFOVII-UHFFFAOYSA-N,,False
CHEMBL1381135,COc1cnc(-c2ccccn2)nc1N(C)C,1.9,COc1cnc(nc1N(C)C)c2ccccn2,HHWOVFWQFLUAJI-UHFFFAOYSA-N,,False
CHEMBL528217,c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,FNIDRCPXJSYPFT-UHFFFAOYSA-N,,False
CHEMBL2177621,CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,LZRZLRDYRGYENN-UHFFFAOYSA-N,7_?|8_?|10_?|12_?|15_?,False
CHEMBL475386,CNC1=Nc2ncccc2C(c2ncco2)=NC1c1cccs1,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,XZXICFZJBPQSLC-UHFFFAOYSA-N,17_?,False
CHEMBL2325699,CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,FMYZLWZNPIWZKB-UHFFFAOYSA-N,10_?|13_?,False
CHEMBL2010845,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,IFGKACWCWSTXBV-LEWJYISDSA-N,16_R|32_S,False
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,RJKFOVLPORLFTN-LEKSSAKUSA-N,3_S|6_S|7_S|16_R|18_S|21_S,False
CHEMBL2208428,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,JMGBVGDZPLNFAE-OAHLLOKOSA-N,14_R,False
CHEMBL1796293,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,SPHCZZBTYLIKMU-UHFFFAOYSA-N,,False
CHEMBL1557436,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,NTPXQERXVNATPJ-UHFFFAOYSA-N,,False
CHEMBL2031236,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,CKXJLNSNPZFRGR-UHFFFAOYSA-N,,False
CHEMBL2087849,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,LTQJNQDKHOMARK-UHFFFAOYSA-N,,False
CHEMBL1235773,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,NKXJSCXEAVZSMF-UHFFFAOYSA-N,,False
CHEMBL339051,CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1,2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,OJNYEFLQZAKWEW-AREMUKBSSA-N,17_S,False
CHEMBL168899,O=C1Nc2ccccc2B(O)N1c1ccccc1,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,NWEVGXOPORMXMR-UHFFFAOYSA-N,,False
CHEMBL517,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,6_?,False
CHEMBL578288,N#CN=C(N)c1sc(Nc2ccccc2)nc1N,2.91,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,OCAIUSXYDOHYOK-UHFFFAOYSA-N,,False
CHEMBL1778648,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@H](C)C(=O)O)c(C)c1,-0.4,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,UTDANZPJNOWLLZ-GFCCVEGCSA-N,20_R,False
CHEMBL1778635,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-0.16,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,HKAAVWSTGFVPGS-UHFFFAOYSA-N,,False
CHEMBL1234354,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,2.2,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,XDLYKKIQACFMJG-WKILWMFISA-N,17_r|20_r,False
CHEMBL1550278,CC(Nc1ncnc2ccccc12)c1ccccc1,3.4,CC(Nc1ncnc2ccccc12)c3ccccc3,WIPBFPCDERGUGD-UHFFFAOYSA-N,1_?,False
CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,SGRYPYWGNKJSDL-UHFFFAOYSA-N,,False
CHEMBL1807822,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,2.28,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,BYUSHVMTXZIAER-QHCPKHFHSA-N,9_R,False
CHEMBL1310086,COc1ccccc1Cn1c(C)nc2ccccc21,3.47,COc1ccccc1Cn2c(C)nc3ccccc23,MFEDHMSIAWGIGY-UHFFFAOYSA-N,,False
CHEMBL373364,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,3.0,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,CHDHWRIOEXFMNA-UHFFFAOYSA-N,,False
CHEMBL484901,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-UHFFFAOYSA-N,1_?,False
CHEMBL1233652,O=C(O)CCC[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1,1.95,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,DLZZNQTXKPJOKN-IEBWSBKVSA-N,6_R|14_R,False
CHEMBL2059196,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,-0.99,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,QEODWPGJXCSBCR-UHFFFAOYSA-N,,False
CHEMBL1934414,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,2.0,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,BFODPUUHEITNCL-KRWDZBQOSA-N,14_S,False
CHEMBL1415894,c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1,3.8,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,LINHOSSSJLYLGM-UHFFFAOYSA-N,,False
CHEMBL2335875,COCCNC(=O)c1cccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)c1,3.21,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,DZBKGGPSLAGHOV-UHFFFAOYSA-N,,False
CHEMBL1916269,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1,0.36,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,OZIJOODQXPEDBJ-UHFFFAOYSA-N,,False
CHEMBL1224139,NC(=O)c1cc(F)cc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,2.14,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,JPHCSQTXZXZBMR-RUYXUALKSA-N,10_r|12_S|15_R,False
CHEMBL1082812,N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,1.71,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,UXUGSRGUYLQZBM-UHFFFAOYSA-N,,False
CHEMBL12980,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,1.19,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,HGMITUYOCPPQLE-UHFFFAOYSA-N,3_?|5_?|8_?,False
CHEMBL1412343,Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1,2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,OFKPHZHFCFRCKG-UHFFFAOYSA-N,,False
CHEMBL453862,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,2.77,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,OZOUTOVDXHHQIZ-UHFFFAOYSA-N,,False
CHEMBL296572,COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,3.8,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,WEYUTGFDGHKVAY-UHFFFAOYSA-N,,False
CHEMBL239513,O=C(COc1ccccc1)c1ccccc1,2.87,O=C(COc1ccccc1)c2ccccc2,KRSXGTAVHIDVPM-UHFFFAOYSA-N,,False
CHEMBL479445,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,1.91,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,ISNQSRDOIQFDPT-UHFFFAOYSA-N,,False
CHEMBL2152917,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1,3.4,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,BQDUISPSAOQZDJ-JOECNLHFSA-N,2_r|5_r|20_?,False
CHEMBL299672,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,3.13,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,XGPAXWVNLWKLEF-UHFFFAOYSA-N,,False
CHEMBL1682820,O=C1CCOc2cc(COc3ccccc3)ccc21,3.0,O=C1CCOc2cc(COc3ccccc3)ccc12,LOURISIOISPYCO-UHFFFAOYSA-N,,False
CHEMBL247367,Clc1cccc2cn[nH]c12,2.33,Clc1cccc2cn[nH]c12,WIYOYUQVNPTVQG-UHFFFAOYSA-N,,False
CHEMBL2010834,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,2.8,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,HREXSEDWNZLPCX-UHFFFAOYSA-N,,False
CHEMBL1945293,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,YZGKJDAFHUVRRH-SFHVURJKSA-N,14_R,False
CHEMBL1652588,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,KESMOWDPGATUGY-UHFFFAOYSA-N,,False
CHEMBL190812,C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1,2.91,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,VBVRORJVJBTVBX-HNNXBMFYSA-N,1_S,False
CHEMBL235392,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,1.55,Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,YVDKBJBYBPODBK-UHFFFAOYSA-N,4_?|6_?|8_?|10_?|20_?|24_?,False
CHEMBL62193,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,ZZORFUFYDOWNEF-UHFFFAOYSA-N,,False
CHEMBL1784338,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,1.43,Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,FUEVUWZQRYWTIH-UHFFFAOYSA-N,,False
CHEMBL1650698,C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,2.47,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,PFXXPRYKFJNBAN-QMMMGPOBSA-N,1_S,False
CHEMBL2062583,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,2.48,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,OAKYYFZNZIPXEQ-UHFFFAOYSA-N,,False
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.45,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,1_?,False
CHEMBL2158534,CC1(c2nc(N3CCOCC3)ncc2C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)CC1,2.0,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,YKOIHNGPJULCAM-KZHQWQGASA-N,17_s|18_?|20_?|22_?|24_r,False
CHEMBL492234,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1,2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,WSDBCZFGPGHNDE-UHFFFAOYSA-N,,False
CHEMBL131921,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,3.5,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,WUADCCWRTIWANL-UHFFFAOYSA-N,,False
CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12,0.89,CNCCCC12CCC(c3ccccc13)c4ccccc24,QSLMDECMDJKHMQ-UHFFFAOYSA-N,5_?|8_?,False
CHEMBL346528,Oc1cc(-c2ccccc2)nc2ccnn12,1.3,Oc1cc(nc2ccnn12)c3ccccc3,WTXZHEFXYVLIDI-UHFFFAOYSA-N,,False
CHEMBL133501,O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,2.01,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,PAKMUOFMBAPGIG-CQSZACIVSA-N,13_R,False
CHEMBL2087854,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,GXKBYITWIIEZIQ-UHFFFAOYSA-N,2_?,False
CHEMBL1689126,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1,0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,GMFBGMFMMAVODH-INIZCTEOSA-N,1_S,False
CHEMBL1650728,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,2.6,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,WMZWKZSZFLNJAR-ZETCQYMHSA-N,10_S,False
CHEMBL2178942,Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(F)c2)nc1C(N)=O,1.3,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,VWXCBIYKAIQGAT-HDJSIYSDSA-N,10_r|13_r,False
CHEMBL1800528,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,UFFMLXIMOZMLNJ-UHFFFAOYSA-N,,False
CHEMBL143305,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,3.72,Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,TUGBWRGTMLOFAX-UHFFFAOYSA-N,,False
CHEMBL2326481,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,DJFZOPTYMZKMLN-UHFFFAOYSA-N,,False
CHEMBL15245,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,1.65,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,BLGXFZZNTVWLAY-SCYLSFHTSA-N,4_R|5_S|9_R|23_S|25_S,False
CHEMBL1852688,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,3.7,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,QADPYRIHXKWUSV-UHFFFAOYSA-N,,False
CHEMBL2171169,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,2.2,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,MTLMDZJUGDUTCP-PTGPVQHPSA-N,22_R|24_R|35_R|37_S,False
CHEMBL2216830,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,2.04,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl,DNVFTXQYIYFQBW-UHFFFAOYSA-N,,False
